title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,1223 10th Ave,San Francisco,CA,94122,"$1,889,000","3 bds , 2 ba , 2,045 sqft",Town & Country RealtyAssociats,https://www.zillow.com/homedetails/1223-10th-Ave-San-Francisco-CA-94122/15102201_zpid/
House For Sale,1449 26th Ave,San Francisco,CA,94122,"$998,000","2 bds , 1 ba , 1,505 sqft",GD Commercial Real Estate Inc,https://www.zillow.com/homedetails/1449-26th-Ave-San-Francisco-CA-94122/15105150_zpid/
House For Sale,800 Lawton St,San Francisco,CA,94122,"$1,995,000","3 bds , 4 ba , 2,433 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/800-Lawton-St-San-Francisco-CA-94122/15106459_zpid/
House For Sale,2224 Lawton St,San Francisco,CA,94122,"$1,085,000","2 bds , 1 ba , 1,640 sqft","West & Praszker, REALTORS®",https://www.zillow.com/homedetails/2224-Lawton-St-San-Francisco-CA-94122/15107148_zpid/
House For Sale,1762 32nd Ave,San Francisco,CA,94122,"$1,188,000","3 bds , 3 ba , 1,560 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/1762-32nd-Ave-San-Francisco-CA-94122/15110765_zpid/
House For Sale,3427 Kirkham St,San Francisco,CA,94122,"$1,199,000","3 bds , 2 ba , 1,541 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/3427-Kirkham-St-San-Francisco-CA-94122/15107594_zpid/
House For Sale,1847 10th Ave,San Francisco,CA,94122,"$1,295,000","2 bds , 2 ba , 1,688 sqft",,https://www.zillow.com/homedetails/1847-10th-Ave-San-Francisco-CA-94122/15111864_zpid/
Auction,1315 39th Ave,San Francisco,CA,94122,$1.05M,"3 bds , 1 ba , 1,690 sqft",,https://www.zillow.com/homedetails/1315-39th-Ave-San-Francisco-CA-94122/15103772_zpid/
House For Sale,1751 19th Ave,San Francisco,CA,94122,"$990,000","3 bds , 3 ba , 1,780 sqft",Better Homes and Gardens Real Estate J.F. Finnegan Realtors,https://www.zillow.com/homedetails/1751-19th-Ave-San-Francisco-CA-94122/15111273_zpid/
House For Sale,1114 Judah St,San Francisco,CA,94122,"$1,388,000","4 bds , 2 ba , 2,221 sqft",Compass,https://www.zillow.com/homedetails/1114-Judah-St-San-Francisco-CA-94122/15102895_zpid/
House For Sale,1686 24th Ave,San Francisco,CA,94122,"$1,495,000","5 bds , 5 ba , 2,357 sqft",Coldwell Banker Residential Brokerage - San Francisco Sunset,https://www.zillow.com/homedetails/1686-24th-Ave-San-Francisco-CA-94122/15109247_zpid/
Apartment For Sale,1391-1393 23RD Ave,SAN FRANCISCO,CA,94122,"$1,700,000","Studio , -- ba , 3,000 sqft",JODI Group,https://www.zillow.com/homedetails/1391-1393-23RD-Ave-San-Francisco-CA-94122/15103122_zpid/
Condo For Sale,1478 12th Ave,San Francisco,CA,94122,"$2,275,000","3 bds , 3 ba , 900 sqft",Vanguard Properties,https://www.zillow.com/homedetails/1478-12th-Ave-San-Francisco-CA-94122/15105881_zpid/
Condo For Sale,1480 12th Ave,San Francisco,CA,94122,"$1,650,000","3 bds , 2 ba , -- sqft",Vanguard Properties,https://www.zillow.com/homedetails/1480-12th-Ave-San-Francisco-CA-94122/79841155_zpid/
Apartment For Sale,1478 80 12th Ave,San Francisco,CA,94122,"$3,925,000","Studio , -- ba , -- sqft",Vanguard Properties,https://www.zillow.com/homedetails/1478-80-12th-Ave-San-Francisco-CA-94122/2091396978_zpid/
Apartment For Sale,335 339 Judah St,San Francisco,CA,94122,"$1,800,000","Studio , -- ba , -- sqft",Nation Home Realty,https://www.zillow.com/homedetails/335-339-Judah-St-San-Francisco-CA-94122/2091999257_zpid/
For Sale by Owner,3333 Lincoln Way,San Francisco,CA,94122,"$1,800,000","2 bds , 1 ba , 1,790 sqft",,https://www.zillow.com/homedetails/3333-Lincoln-Way-San-Francisco-CA-94122/15101412_zpid/
