title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,815 Douglass St,San Francisco,CA,94114,"$1,995,000","3 bds , 3 ba , 1,870 sqft",,https://www.zillow.com/homedetails/815-Douglass-St-San-Francisco-CA-94114/15180127_zpid/
Condo For Sale,161 Castro St # C,San Francisco,CA,94114,"$825,000","2 bds , 1 ba , -- sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/161-Castro-St-C-San-Francisco-CA-94114/2090820780_zpid/
House For Sale,407 Clipper St,San Francisco,CA,94114,"$1,598,000","4 bds , 2 ba , 2,988 sqft",Coldwell Banker Residential Brokerage - San Francisco Lakeside,https://www.zillow.com/homedetails/407-Clipper-St-San-Francisco-CA-94114/2090820955_zpid/
Apartment For Sale,18 22 Sanchez St,San Francisco,CA,94114,"$3,825,000","Studio , -- ba , 8,040 sqft",Colliers International,https://www.zillow.com/homedetails/18-22-Sanchez-St-San-Francisco-CA-94114/2090822860_zpid/
Apartment For Sale,80-82 Museum Way,SAN FRANCISCO,CA,94114,"$1,595,000","Studio , -- ba , 2,800 sqft",Vanguard Properties,https://www.zillow.com/homedetails/80-82-Museum-Way-San-Francisco-CA-94114/15127399_zpid/
Condo For Sale,3693 17th St,San Francisco,CA,94114,"$2,595,000","4 bds , 3 ba , 2,490 sqft",Square Foot SF,https://www.zillow.com/homedetails/3693-17th-St-San-Francisco-CA-94114/2103037831_zpid/
House For Sale,171 Twin Peaks Blvd,San Francisco,CA,94114,"$2,988,000","3 bds , -- ba , 2,900 sqft",Realty World - Dominion,https://www.zillow.com/homedetails/171-Twin-Peaks-Blvd-San-Francisco-CA-94114/15129661_zpid/
Coming Soon,3527 21st St,San Francisco,CA,94114,"$2,460,000","4 bds , 3 ba , 2,400 sqft",,https://www.zillow.com/homedetails/3527-21st-St-San-Francisco-CA-94114/15146099_zpid/
House For Sale,549 Jersey St,San Francisco,CA,94114,"$2,395,000","3 bds , 2 ba , 1,970 sqft",Compass,https://www.zillow.com/homedetails/549-Jersey-St-San-Francisco-CA-94114/15181048_zpid/
House For Sale,4247 24th St,San Francisco,CA,94114,"$2,295,000","3 bds , 2 ba , 2,342 sqft",Compass,https://www.zillow.com/homedetails/4247-24th-St-San-Francisco-CA-94114/2090931259_zpid/
Condo For Sale,730 Clipper St,San Francisco,CA,94114,"$1,295,000","2 bds , 2.5 ba , 1,299 sqft",Vanguard Properties,https://www.zillow.com/homedetails/730-Clipper-St-San-Francisco-CA-94114/15181099_zpid/
Condo For Sale,2610 Market St,San Francisco,CA,94114,"$550,000","1 bd , 1 ba , 600 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2610-Market-St-San-Francisco-CA-94114/2090934949_zpid/
Condo For Sale,2612 Market St,San Francisco,CA,94114,"$1,249,000","2 bds , 2 ba , 1,593 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2612-Market-St-San-Francisco-CA-94114/2090935036_zpid/
Condo For Sale,489 Elizabeth St,San Francisco,CA,94114,"$3,495,000","3 bds , 2.5 ba , 3,282 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/489-Elizabeth-St-San-Francisco-CA-94114/111931851_zpid/
Condo For Sale,2152 15th St,San Francisco,CA,94114,"$1,495,000","2 bds , 2 ba , -- sqft",Coldwell Banker Residential Brokerage - San Francisco Market Street,https://www.zillow.com/homedetails/2152-15th-St-San-Francisco-CA-94114/2097366158_zpid/
House For Sale,4443 19th St,San Francisco,CA,94114,"$3,595,000","4 bds , 3.5 ba , 2,260 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/4443-19th-St-San-Francisco-CA-94114/15129450_zpid/
House For Sale,3847 18th St,San Francisco,CA,94114,"$11,850,000","4 bds , 4.5 ba , -- sqft",Vanguard Properties,https://www.zillow.com/homedetails/3847-18th-St-San-Francisco-CA-94114/2091091920_zpid/
Apartment For Sale,312-314 Liberty St,SAN FRANCISCO,CA,94114,"$5,750,000","Studio , -- ba , 3,255 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/312-314-Liberty-St-San-Francisco-CA-94114/15145459_zpid/
House For Sale,780 Elizabeth St,San Francisco,CA,94114,"$2,995,000","3 bds , 2 ba , 2,790 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/780-Elizabeth-St-San-Francisco-CA-94114/15131678_zpid/
Apartment For Sale,950 Noe St,San Francisco,CA,94114,"$1,575,000","Studio , -- ba , 1,250 sqft",DeRose & Appelbaum,https://www.zillow.com/homedetails/950-Noe-St-San-Francisco-CA-94114/15146390_zpid/
Apartment For Sale,2610-2612 Market St,SAN FRANCISCO,CA,94114,"$1,799,000","3 bds , 3 ba , 2,337 sqft",Grobecker Holland Internationa,https://www.zillow.com/homedetails/2610-2612-Market-St-San-Francisco-CA-94114/15128236_zpid/
Apartment For Sale,352 Cumberland St,San Francisco,CA,94114,"$3,750,000","Studio , -- ba , 2,760 sqft",Compass,https://www.zillow.com/homedetails/352-Cumberland-St-San-Francisco-CA-94114/15145129_zpid/
Lot/Land For Sale,258 Caselli Ave,San Francisco,CA,94114,"$1,500,000","1,751 sqft lot",Catalyst Realty and Investment,https://www.zillow.com/homedetails/258-Caselli-Ave-San-Francisco-CA-94114/59779599_zpid/
House For Sale,1410 Stanyan St,San Francisco,CA,94114,"$3,695,000","4 bds , 3.5 ba , 3,687 sqft",GPK Luxury Real Estate,https://www.zillow.com/homedetails/1410-Stanyan-St-San-Francisco-CA-94114/125272353_zpid/
House For Sale,625 Grand View Ave,San Francisco,CA,94114,"$3,595,000","4 bds , 3.5 ba , 2,765 sqft",Vanguard Properties,https://www.zillow.com/homedetails/625-Grand-View-Ave-San-Francisco-CA-94114/15179944_zpid/
