title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,301 Mission St APT 12A,San Francisco,CA,94105,"$2,150,000","2 bds , 2 ba , 1,479 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/301-Mission-St-APT-12A-San-Francisco-CA-94105/111710925_zpid/
New Construction,181 Fremont St # 7O3M5Y,San Francisco,CA,94105,"$3,715,000+","2 bds , 3 ba , 1,605+ sqft",,https://www.zillow.com/community/181-fremont/2093048632_zpid/
Condo For Sale,333 Main St UNIT 2B,San Francisco,CA,94105,"$999,000","1 bd , 1.5 ba , 1,216 sqft",Skybox Realty,https://www.zillow.com/homedetails/333-Main-St-UNIT-2B-San-Francisco-CA-94105/2101932915_zpid/
Coming Soon,318 Spear St UNIT 7A,San Francisco,CA,94105,"$2,995,000","3 bds , 3 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/318-Spear-St-UNIT-7A-San-Francisco-CA-94105/2090833340_zpid/
New Construction,201 Folsom St # EYS5DE,San Francisco,CA,94105,"$3,245,000+","3 bds , 3 ba , 1,780+ sqft",,https://www.zillow.com/community/lumina/2096956669_zpid/
Condo For Sale,355 1st St UNIT S1603,San Francisco,CA,94105,"$939,000","1 bd , 1 ba , 795 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/355-1st-St-UNIT-S1603-San-Francisco-CA-94105/2090860425_zpid/
Condo For Sale,400 Beale St APT 1210,San Francisco,CA,94105,"$835,000","1 bd , 1 ba , 670 sqft",Climb Real Estate,https://www.zillow.com/homedetails/400-Beale-St-APT-1210-San-Francisco-CA-94105/80751632_zpid/
Condo For Sale,425 1st St UNIT 2705,San Francisco,CA,94105,"$879,000","1 bd , 1 ba , 710 sqft",Vision Realty Group,https://www.zillow.com/homedetails/425-1st-St-UNIT-2705-San-Francisco-CA-94105/82786144_zpid/
New Construction,181 Fremont St # 227L9M,San Francisco,CA,94105,"$5,630,000+","3 bds , 4 ba , 1,882+ sqft",,https://www.zillow.com/community/181-fremont/2093048631_zpid/
New Construction,201 Folsom St # 52P34K,San Francisco,CA,94105,"$1,870,000+","2 bds , 2 ba , 1,189+ sqft",,https://www.zillow.com/community/lumina/2098636734_zpid/
Condo For Sale,74 New Montgomery St UNIT 701,San Francisco,CA,94105,"$1,419,888","2 bds , 2 ba , 1,203 sqft",Select REALTORS,https://www.zillow.com/homedetails/74-New-Montgomery-St-UNIT-701-San-Francisco-CA-94105/83154104_zpid/
Apartment For Sale,19 Tehama St,San Francisco,CA,94105,"$5,500,000","Studio , -- ba , 8,240 sqft",Vanguard Properties,https://www.zillow.com/homedetails/19-Tehama-St-San-Francisco-CA-94105/2122495406_zpid/
Condo For Sale,301 Mission St APT 303,San Francisco,CA,94105,"$1,329,000","1 bd , 2 ba , 1,395 sqft",GPK Luxury Real Estate,https://www.zillow.com/homedetails/301-Mission-St-APT-303-San-Francisco-CA-94105/114316022_zpid/
New Construction,201 Folsom St # 2PGZ5G,San Francisco,CA,94105,"$1,725,000+","1 bd , 1 ba , 972+ sqft",,https://www.zillow.com/community/lumina/2098636730_zpid/
Condo For Sale,338 Main St UNIT 30B,San Francisco,CA,94105,"$6,285,000","3 bds , 3 ba , 2,685 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/338-Main-St-UNIT-30B-San-Francisco-CA-94105/2090928483_zpid/
Condo For Sale,338 Spear St UNIT 18E,San Francisco,CA,94105,"$1,788,000","2 bds , 2 ba , 1,181 sqft",Skybox Realty,https://www.zillow.com/homedetails/338-Spear-St-UNIT-18E-San-Francisco-CA-94105/89239685_zpid/
Condo For Sale,501 Beale St UNIT 12H,San Francisco,CA,94105,"$1,988,000","2 bds , 2 ba , 1,161 sqft",Vanguard Properties,https://www.zillow.com/homedetails/501-Beale-St-UNIT-12H-San-Francisco-CA-94105/69819303_zpid/
New Construction,201 Folsom St APT 25B,San Francisco,CA,94105,"$1,870,000","2 bds , 2 ba , 1,189 sqft",,https://www.zillow.com/homedetails/201-Folsom-St-APT-25B-San-Francisco-CA-94105/2090962510_zpid/
Condo For Sale,301 Main St # 15,San Francisco,CA,94105,"$4,695,000","2 bds , 3 ba , 2,126 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/301-Main-St-15-San-Francisco-CA-94105/2093716003_zpid/
Condo For Sale,300 Beale St APT 319,San Francisco,CA,94105,"$895,000","1 bd , 1 ba , 943 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/300-Beale-St-APT-319-San-Francisco-CA-94105/80734842_zpid/
Condo For Sale,338 Spear St UNIT 15G,San Francisco,CA,94105,"$949,000","1 bd , 1 ba , 1 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/338-Spear-St-UNIT-15G-San-Francisco-CA-94105/89238121_zpid/
Condo For Sale,301 Mission St APT 55A,San Francisco,CA,94105,"$5,650,000","2 bds , 3 ba , 2,706 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/301-Mission-St-APT-55A-San-Francisco-CA-94105/114315938_zpid/
Condo For Sale,403 Main St APT 803N,San Francisco,CA,94105,"$1,650,000","3 bds , 2 ba , 1,360 sqft",Climb Real Estate,https://www.zillow.com/homedetails/403-Main-St-APT-803N-San-Francisco-CA-94105/15148660_zpid/
Condo For Sale,201 Harrison St APT 608,San Francisco,CA,94105,"$639,000","1 bd , 1 ba , 495 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/201-Harrison-St-APT-608-San-Francisco-CA-94105/15148282_zpid/
Condo For Sale,338 Spear St UNIT 40E,San Francisco,CA,94105,"$2,499,000","2 bds , 2 ba , 1,582 sqft",Skybox Realty,https://www.zillow.com/homedetails/338-Spear-St-UNIT-40E-San-Francisco-CA-94105/89240554_zpid/
