title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,1325 Lake St,San Francisco,CA,94118,"$2,895,000","6 bds , 3 ba , 2,560 sqft",Compass,https://www.zillow.com/homedetails/1325-Lake-St-San-Francisco-CA-94118/15090004_zpid/
Apartment For Sale,492 498 7th Ave,San Francisco,CA,94118,"$2,500,000","Studio , -- ba , 4,280 sqft","West & Praszker, REALTORS®",https://www.zillow.com/homedetails/492-498-7th-Ave-San-Francisco-CA-94118/2090823024_zpid/
Apartment For Sale,211 Cornwall St,San Francisco,CA,94118,"$5,995,000","Studio , -- ba , 11,052 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/211-Cornwall-St-San-Francisco-CA-94118/2109113577_zpid/
House For Sale,727 16th Ave,San Francisco,CA,94118,"$1,275,000","3 bds , 2 ba , 1,442 sqft",,https://www.zillow.com/homedetails/727-16th-Ave-San-Francisco-CA-94118/15099128_zpid/
Apartment For Sale,472-474 Euclid Ave,SAN FRANCISCO,CA,94118,"$3,690,000","Studio , -- ba , 4,840 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/472-474-Euclid-Ave-San-Francisco-CA-94118/15082748_zpid/
Condo For Sale,472 472 Euclid Ave # 472,San Francisco,CA,94118,"$1,595,000","3 bds , 2 ba , 1,926 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/472-472-Euclid-Ave-472-San-Francisco-CA-94118/2090833906_zpid/
Condo For Sale,472 474 Euclid Ave # 474,San Francisco,CA,94118,"$2,095,000","4 bds , 3.5 ba , 2,914 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/472-474-Euclid-Ave-474-San-Francisco-CA-94118/2090833987_zpid/
House For Sale,132 Collins St,San Francisco,CA,94118,"$1,895,000","2 bds , 2 ba , 1,430 sqft",Coldwell Banker Residential Brokerage - San Francisco Lombard,https://www.zillow.com/homedetails/132-Collins-St-San-Francisco-CA-94118/15083609_zpid/
Apartment For Sale,655-657 5TH Ave,SAN FRANCISCO,CA,94118,"$1,490,000","Studio , -- ba , 2,330 sqft",Yan Wang,https://www.zillow.com/homedetails/655-657-5TH-Ave-San-Francisco-CA-94118/15098378_zpid/
Condo For Sale,960 Anza St APT 6,San Francisco,CA,94118,"$695,000","1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/960-Anza-St-APT-6-San-Francisco-CA-94118/2090932009_zpid/
Apartment For Sale,1550-1552 Lake St,SAN FRANCISCO,CA,94118,"$1,990,000","Studio , -- ba , 2,852 sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/1550-1552-Lake-St-San-Francisco-CA-94118/15089181_zpid/
Condo For Sale,187 16th Ave,San Francisco,CA,94118,"$905,000","2 bds , 1 ba , 892 sqft",Core7 Real Estate,https://www.zillow.com/homedetails/187-16th-Ave-San-Francisco-CA-94118/116157005_zpid/
Condo For Sale,3330 Clay St # A,San Francisco,CA,94118,"$649,000","1 bd , 1 ba , 568 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/3330-Clay-St-A-San-Francisco-CA-94118/2091702607_zpid/
House For Sale,3962 Clay St,San Francisco,CA,94118,"$4,990,000","5 bds , 5.5 ba , 3,915 sqft",JODI Group,https://www.zillow.com/homedetails/3962-Clay-St-San-Francisco-CA-94118/2143196693_zpid/
Condo For Sale,3827 Clay St,San Francisco,CA,94118,"$2,295,000","2 bds , 2 ba , 2,100 sqft",Coldwell Banker Residential Brokerage - San Francisco Market Street,https://www.zillow.com/homedetails/3827-Clay-St-San-Francisco-CA-94118/15082332_zpid/
Coming Soon,4 15th Ave,San Francisco,CA,94118,"$1,950,000","3 bds , 2 ba , 1,900 sqft",,https://www.zillow.com/homedetails/4-15th-Ave-San-Francisco-CA-94118/64971464_zpid/
Apartment For Sale,3452 3456 Sacramento St,San Francisco,CA,94118,"$3,295,000","Studio , -- ba , 4,058 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/3452-3456-Sacramento-St-San-Francisco-CA-94118/2091433996_zpid/
Condo For Sale,690 Spruce St APT 102,San Francisco,CA,94118,"$999,000","1 bd , 2 ba , 925 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/690-Spruce-St-APT-102-San-Francisco-CA-94118/2091594657_zpid/
House For Sale,447 11th Ave,San Francisco,CA,94118,"$2,239,000","4 bds , 3.5 ba , 2,800 sqft","Realty Executives, Real Time",https://www.zillow.com/homedetails/447-11th-Ave-San-Francisco-CA-94118/15094227_zpid/
Apartment For Sale,1926 Anza St,San Francisco,CA,94118,"$2,295,000","Studio , -- ba , 4,210 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/1926-Anza-St-San-Francisco-CA-94118/2091817814_zpid/
House For Sale,34 Maple St,San Francisco,CA,94118,"$19,950,000","9 bds , 8 ba , 11,700 sqft",,https://www.zillow.com/homedetails/34-Maple-St-San-Francisco-CA-94118/2092327614_zpid/
